,latin_maxim,translation,description
989,nunc est bibendum,now is the time to drink,"Carpe-Diem-type phrase from the Odes of Horace, ""Nunc est bibendum, nunc pede libero pulsanda tellus"" (Now is the time to drink, now the time to dance footloose upon the earth)."
990,nunc pro tunc,now for then,"Something that has retroactive effect, is effective from an earlier date."
991,nunc scio quid sit amor,now I know what love is,"From Virgil, Eclogues VIII."
992,nunquam minus solus quam cum solus,never less alone than when alone.,
993,nunquam non,never unprepared,Motto of the Scottish clan Johnston
994,paratus,,
995,O homines ad servitutem paratos,Men fit to be slaves!,"Attributed (in Tacitus, Annales, III, 65) to the Emperor Tiberius, in disgust at the servile attitude of Roman senators. Used of those who should be leaders but instead slavishly follow the lead of others."
996,O tempora O mores,"Oh, the times! Oh, the morals!","Also translated ""What times! What customs!"" From Cicero, Catilina I, 1, 2."
997,obiit (ob.),one died,"""He died"" or ""she died"", an inscription on gravestones. ob. also sometimes stands for obiter (in passing or incidentally)."
998,"obit anus, abit onus","The old woman dies, the burden is lifted",Arthur Schopenhauer.
999,obiter dictum,a thing said in passing,"In law, an observation by a judge on some point of law not directly relevant to the case before him, and thus neither requiring his decision nor serving as a precedent, but nevertheless of persuasive authority. In general, any comment, remark or observation made in passing."
1000,obscuris vera involvens,the truth being enveloped by obscure things,From Virgil.
1001,obscurum per obscurius,the obscure by means of the more obscure,An explanation that is less clear than what it tries to explain. Synonymous with ignotum per ignotius.
1002,oculus dexter (O.D.),right eye,Ophthalmologist shorthand.
1003,oculus sinister (O.S.),left eye,Ophthalmologist shorthand.
1004,oderint dum metuant,"let them hate, so long as they fear","Favorite saying of Caligula, attributed originally to Lucius Accius, Roman tragic poet (170 BC)."
1005,odi et amo,I hate and I love,"The opening of Catullus 85. The entire poem reads, ""odi et amo quare id faciam fortasse requiris / nescio sed fieri sentio et excrucior"" (I hate and I love. Why do I do this, you perhaps ask. / I do not know, but I feel it happening and am tormented.)."
1006,odi profanum vulgus et arceo,I hate the unholy rabble and keep them away,From Horace.
1007,odium theologicum,theological hatred,A name for the special hatred generated in theological disputes.
1008,oleum camino,(To pour) oil on the fire,From Gerhard Gerhards' (1466-1536) [better known as Erasmus] collection of annotated Adagia (1508).
1009,"omnes vulnerant, postuma necat or omnes feriunt, ultima necat","All [the hours] wound, last one kills","Usual in clocks, reminding the reader of death."
1010,omne ignotum pro magnifico,every unknown thing [is taken] for great,"Or ""everything unknown appears magnificent""."
1011,omnia dicta fortiora si dicta Latina,everything said [is] stronger if said in Lati,"Or ""everything sounds more impressive when said in Latin"". A more common phrase with the same meaning is quidquid Latine dictum sit altum videtur."
1012,"omnia mutantur, nihil interit","Everything changes, nothing perishes","Or ""Everything changes, but nothing is truly lost"" (Ovid (43 BC ? 17 AD), Metamorphoses, book XV, line 165)"
1013,omnia vincit amor,Love conquers all,"Virgil (70 BC - 19 BC), Eclogue X, line 69"
1014,omne vivum ex ovo,Every living thing is from an egg,"A foundational concept of modern biology, opposing the theory of spontaneous generation."
1015,omnia munda mundis,everything [is] pure to the pure [men],From The New Testament.
1016,omnia praesumuntur legitime facta donec probetur in contrarium,"all things are presumed to be lawfully done, ","In other words, ""innocent until proven guilty""."
1017,omnibus idem,the same to all,"The motto of P.C. Hooft, usually accompanied by a sun, which shines for (almost) everyone."
1018,Omnis Vir Tigris,"""Everyone A Tiger""",Motto of the 102nd Intelligence Wing
1019,omnium gatherum,gathering of all,A miscellaneous collection or assortment. Often used facetiously.
1020,onus probandi,burden of proof,
1021,onus procedendi,burden of procedure,Burden of a party to adduce evidence that a case is an exception to the rule
1022,opera omnia,all works,The collected works of an author.
1023,opera posthuma,posthumous works,Works published after the author's death.
1024,operari sequitur esse,the act of doing something follows the act of,"Scholastic phrase, used to explain that there is no possible act if there is not being: being is absolutely necessary for any other act."
1025,opere citato (op. cit.),in the work that was cited,Used in academic works when referring again to the last source mentioned or used.
1026,opere et viritate,in action and truth,Doing what you believe is morally right through everyday actions.
1027,opere laudato (op. laud.),,See opere citato
1028,operibus anteire,leading the way with deeds,To speak with actions instead of words.
1029,ophidia in herba,a snake in the grass,Any hidden danger or unknown risk.
1030,opus anglicanum,English work,Fine embroidery. Especially used to describe church vestments.
1031,Opus Dei,The Work of God,"Opus Dei is a Catholic institution founded by Saint Josemar?a Escriv?. Its mission is to help people turn their work and daily activities into occasions for growing closer to God, for serving others, and for improving society."
1032,ora et labora,pray and work,"The Motto of Order of Saint Benedict as well as the motto for St. Joseph's Institution, Dalhousie Law School, Halifax Nova Scotia, and Infant Jesus Anglo-Indian Higher Secondary School, Tangasseri, India, and other institutions."
1033,ora pro nobis,pray for us,
1034,oratio directa,direct speech,"An expression from Latin grammar. cf. ""oratio obliqua."""
1035,oratio obliqua,indirect speech,"An expression from Latin grammar. cf. ""oratio directa."""
1036,orbis non sufficit,"the world does not suffice""","Originates from Juvenal's Tenth Satire, referring to Alexander the Great. James Bond's adopted family motto in the novel On Her Majesty's Secret Service. It made a brief appearance in the film adaptation of the same name and was later used as the title of the nineteenth James Bond film, The World Is Not Enough."
1037,,"""the world is not enough",
1038,orbis unum,One world,Seen in The Legend of Zorro.
1039,ordo ab chao,"Out of chaos, comes order",The phrase is one of the oldest mottos of Craft Freemasonry.citation needed
1040,orta recens quam pura nites,"newly risen, how brightly you shine",Motto of New South Wales.
1041,pace,"""in peace""","""With all due respect to"", ""with due deference to"", ""by leave of"", or ""no offense to"". Used to politely acknowledge someone who disagrees with the speaker or writer."
1042,pace tua,"""your peace""","Thus, ""with your permission""."
1043,pacta sunt servanda,"""agreements must be kept""","Also ""contracts must be honoured"". Indicates the binding power of treaties."
1044,palma non sine pulvere,"""no reward without effort""","Also ""dare to try""; motto of numerous schools."
1045,panem et circenses,"""bread and circuses""","From Juvenal, Satire X, line 81. Originally described all that was needed for emperors to placate the Roman mob. Today used to describe any entertainment used to distract public attention from more important matters."
1046,para bellum,"""prepare for war""","From ""Si vis pacem para bellum"" if you want peace prepare for war since if you are ready for war your enemies will not attack. Can be used to denote support or approval for a war or conflict."
1047,parens patriae,"""parent of the nation""",A public policy requiring courts to protect the best interests of any child involved in a lawsuit. See also Pater Patriae.
